제목,아이디,댓글 내용,좋아요 수,라벨,감정
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-le9qo4yg8j,대체 니들이 뭐했냐?,1,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@gunkim7739,모병제는 좀.... 사람들이 올려나도 모르겠고 취업 못하고 답 없다 싶은 사람은 다 군대가라고 떠미는 것 같은 생각이 드네여,1,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-di9hw4ze5z,군대로 남녀 갈등 유발좀 하지마세요자꾸 분열시키지 마세요20대 청년 일자리나 늘리세요,12,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-wy1cu6dv4o,저 몇명 안대는 자한당입당 희망자 몇명이 청녀들의 주장을 대표하냐? 서울대 욕 처먹이는 200명이 서울대 대표냐? 기사 참 나도 아직 모병제는 아니라 본다만은 기사 참 진짜 악의적이셔,8,a,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-ki4qj7ni3c,응.이미 늦었어,6,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@mikashiroco,이미 늦었어 민주당.니들이 싼 똥 20대 남자한테 치우라하지말고니들이 치워 너네들이 뒤늦게 민심 돌리려는거 ㅈㄴ 역겨워,1,b,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-ed7ny8dp9e,너무격하게공감.찬성 입니다.김무성의윈님묵직히게한말씀속이시원합니다.김무성의원님힘내세요ㅡ화이팅,2,a,1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@kangbc5250,저런놈이 이때까지 국회서 20년넘게 있었다니 곱게늙자,13,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@stephanolm,참 비루하네!사돈 남말하는 꼬락서니 하고는...,20,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@high-classzzz4275,친일 후선 김무성이 할소린가 ㅡㅡ??,18,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@MrRlaehdwp,누가할소리를...부끄러움은 국민몫인가?,8,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@ksl2511,본인이 최고 정리대상1호야,18,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-it9ud6yy1q,고기값도 못하는인간 부전자전,16,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@sunwoojung9457,무셩이형은 먼소리해도 개가짖으니까 짜지세요,14,a,1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-zo7qv6yi8r,사돈 남말하지 마슈!!!,14,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-wd6cw2or4o,다른사람도아니고 김무성이 저런말하니깐ㅋㅋㅋㅋㅋ내가 다 부끄럽네,9,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-eb8bf5uc1p,부끄러운줄 알아야 할 사람들은 그 분들이 아닌것 같은데여 잘못 보신것 같습니다 진영 싸움으로 하는 것이 아닙니다 보이는 것과 보이지 않는 것을 잘 구분 하고 분별력을 키웁시다예를 들면 솔로몬의 재판 같은 등등의 일들요.,4,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-hs5vf3mf9z,김무성이가 오랜만에 오른말 하네,3,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@nabeout6555,"김무성이!!!! 뭐야 이름뒤에 ""이"" 붙이는 건!!넌 앞 뒤로 붙여주마  이 김무성이!!!!!!!!",4,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-if5nf7kz3f,정말부끄럽다무성아 개쓰~,5,a,1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-jt1wo9hp3q,본인생각 못하네..,5,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-de7no6di4g,김무성 너부터 사퇴해~,3,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@kyungkim2219,할말 잘하네맞소,2,a,1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@tanganikalee2445,감히  김무성 따위가  누구를  욕해?기가찬다,1,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-qt5ti4vb7l,니가그런말하니 내얼굴이화끈거린다 무성아  당신이 제거대상1호인줄 모르나보네,1,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-sy3xg1nb1n,누워서 침벳는건  아닌가  ㅋㅋ,1,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-vz9rt4uq5x,참~~소가 웃것네..남탓에 지꼴 숨기는,1,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@seanchung7510,건방지다 김무성 그런조폭같은소리하지마라 니가뭔데카메라에 대놓고 헛소리를하시나,3,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-kj1jy1qs8e,김무성님 옪으신 말씀   이재정 박지원 젤 실음 주둥이로만 ㅡ,2,a,1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-ty6by2zk1d,기가차다 자한당 입에서 나온다니,1,a,1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@youngim7641,자네나 잘 하시게..,1,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@samsungshdhs,너나 잘해라,2,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@5234sfsdfsdf,공항서 보좌관에게 캐리어를 내동댕이치듯 패스하던 김무성이ㆍ그행동에 모든게 담겨있지ㆍ부끄러운줄 알아야지 고마해라 니부터,1,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-wn9zc8vm6y,다른당 국회의원을 비판하는것까진 좋은데 이놈 저놈 하면서 욕비슷하게 비아냥 거리듯이거친발언은 좀 아니지않나?개념없는 사람이네 ㅉㅉ,1,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-nf3ie7vx4v,나는 너희들이 부끄럽고..제거 되어야 할 구태들 이라고 본다..정치를해서는 안 될 사람들이 정치판에서 기웃거리니..정치는 상대를 인정하고 존중하며 자극하지 않고 설득해 가는 일인데..너희는 기본적으로 상대와 대화를 할 수 없는 자질들이야..,1,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-mz8tx7wn6o,친일 파 2세주제에 어디 정치가 부끄럽다?너희 부모가 더 부끄럽다고 생각 안하십니까?,1,a,-1
김무성 _박지원·이재정 내년 총선에서 제거돼야_ _ YTN,@user-mb4wk2sm1b,양심에 가책도없는 ᆢ정치계에 그만 하시고 ᆢ,1,a,-1
한국당 총선기획단 출범..._혁신·통합 속도 내야_ _ YTN,@user-sp3ou9on9q,범죄집단자한당에한표가아갑다,1,a,-1
한국당 총선기획단 출범..._혁신·통합 속도 내야_ _ YTN,@yhkim2200,"혁신개혁 같은 소리 하고있네, 인재가 있어야지, 쓰레기들 뿐인데 뭘 하겠냐 소가 웃는다.",1,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-pm2ex3no1k,공관병 말이 모두 진실임을 알려주네요 부대 안에서 황제로 살다보면 사람이 저리 됩니다,1,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@TV-ys2bk,박찬주 핵사이다급 발언 격하게 지지한다.,1,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-ds9dd4ex4g,야 자유당은  느낌이  무슨  맨날 신기록 경신하는 느낌이다  참 어마어마하다  진짜,20,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-ev6bd5pd6v,"멋지다 !!삼청교육대 !!이런 훌륭한 분이야말로 이나라에 정말 필요하신 분이시다.삼청교육대를 다시 만들어서 박찬주 전대장님을 다시 교육하는건 어떨까?물론 조교는 임태룬 소장님께서 가르치시면 좋겠지만 그분이 바쁘시다면 내가 무보수로 나라에 봉사할수도 있는데,1년정도 열심히 교육하면 박찬주 전대장님을 비롯해서 많은 분들을 이나라의 산업역군으로 탈바꿈시킬 자신이 있는데 아쉽네요.",4,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-gi6ki8kn5o,자한당이  미쳐돌아가는구나  쯧쯧,13,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-ey5uk8sc7s,"신의한수에서만 생방송했습니다. 취재하러 오지 않은 방송사가 비난할 자격이 없습니다. 저는 생방송을 모두 다 들었습니다. 삼청교육대는 너무 억울해서 지른 비명에 불과합니다. 준비해온 원고에 있던 말이 아니고, 질의시간에 얼떨결에 감정에 북받혀서 나왔어요. ' 너무 밉다' 로 이해됬어요. 친구분은 자살했쟎아요. 저는 이런 기자회견이 좋았습니다. 인생에 기자회견이 처음했을건데 이정도면 훌륭하다고 박수쳤습니다.",1,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-xr8pg9vb4l,꼭 나오세요 자한당에 필요한 인재네요반성과 사과없는 참인재 박찬주 전대장 ㅋㅋㅋ,9,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-yu1en6bj9r,공관병 어머니들의 절규가 아직 가시지 않았는데 이렇게 재등장할줄 몰랐네 변명이 길어질수록 본인의 남은인생이 힘들어질텐데 ㅋ,2,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-ug2ph2ml2r,ㅋㅋ 매일 무슨 릴레이를 하는것같아요 재밌네,1,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@b.i.h156,미친거 아니냐? 저런 사람이 대장이었다고? 삼청교육대?정말 자한당의 수준을 다시한번 느낀다. 정말 억장이 무너진다,3,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@minkookdaehan1385,갑질중에 제일 악질인 것이 군대 간부들의 갑질입니다. 이런 자는 사회에서 매장되어야 합니다.,3,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@y.g6606,나오는게 자일당  골로가는 지름길인데 이걸 응원해야하는건지  말려야하는건지  아따  더럽게 행복하네  ㅋㅋ,2,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-nn5ps8tx5u,역시 군사정권삼청교육대 국회가면 가면 계엄령선포도하겠네,12,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-jh4ve7wr3y,박찬주 대장님을 응원합니다! 화이팅! 기자회견에서 하신말씀 시원합니다! 정권의 개가된 말도안되는 언론들의 공격에 신경쓰지 마십시요!,1,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-by9zh9pp9i,자한당 참 어렵구나ㆍ자한당에 입당할 사람의 뇌피셜  궁금ㆍㆍ,7,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-no8ej9pn3i,박찬주 대장님 꼭 총선에 나와야합니다,3,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-no8ej9pn3i,박찬주 대장님 꼭 국회로 나야야됩니딛,3,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-eb8in5km9o,수많은 지휘관 갑질 중에서 왜 시범 케이스가 되었을까?왜 공수처로 최상위 삼권분립 헌법을 무너 뜨리려는걸까?우리 국민을 지켜주는 대한민국 헌법과 군대의 상태는 이상무라 할 수 있을까?,1,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-mm6cy6bc8s,자한당 인재다  꼭 출마 시켜라  자한당이 어떤단체인지 잘 보여주고 있다,13,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@angrymarine9036,삼청교육대 나왔죠? 어떤 스텐스를 취하는 자인지 각나오죠? 셀프인증 오지고 지리죠? 수준 나오죠잉?,7,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-sk7ki5ho9r,삼청교육대 다시 부활해야돼!대한국민의  성숙한 기강이 흐려졌어!,1,a,1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@JWPark-fp5kf,삼청교육대 소리 꺼내는 것 보니.. 수준이.. 참... 지휘관. 상관이라고 전지적 권한을 부여받는 게 아니라고 이 양반아..당신같은 사람들 때문에.. 부하들이 피곤해 지는 겨...,5,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@jyl5274,이런 상태안좋은 정치군인들은 절대로 정치시키면 안됩니다. ㅜㅜ삼청교육대라니 헐,6,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-lx7cb4uh7m,저넘 아직도 정신을 못차렸네 억울한데 그땐 왜 머리숙이고 사과는 왜 했냐 저런 인간의 기자 회견을 취제하는 기래기들은 뭐냐 자한당 입당해라 딱 그수준이니까,8,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-pp2mg5bq6v,사람아닌놈인줄 진작 알았었는데... 뻔뻔하네 박찬주ㅋㅋ 재밌는 양반,3,a,-1
"박찬주, 총선 출마 의사..._임태훈은 삼청교육대 보내야_ _ YTN",@user-vm5lo3wg6j,적어도 군인으로 평생을 복무했던 사람이...왜 그렇게 찌질하냐?,2,a,-1
